,0
0,58.0
1,73.0
2,191.0
3,44.0
4,40.0
5,118.0
6,63.0
7,104.0
8,89.0
9,64.0
10,111.0
11,42.0
12,67.0
13,177.0
14,61.0
15,72.0
16,56.0
17,69.0
18,67.0
19,58.0
20,51.0
21,197.0
22,174.0
23,42.0
24,49.0
25,37.0
26,50.0
27,127.0
28,69.0
29,186.0
30,72.0
31,42.0
32,52.0
33,100.0
34,59.0
35,92.0
36,55.0
37,57.0
38,82.0
39,55.0
40,191.0
41,153.0
42,72.0
43,72.0
44,50.0
45,112.0
46,170.0
47,61.0
48,61.0
49,42.0
50,81.0
51,83.0
52,36.0
53,38.0
54,40.0
55,50.0
56,56.0
57,195.0
58,67.0
59,172.0
60,65.0
61,86.0
62,187.0
63,190.0
64,200.0
65,38.0
66,52.0
67,39.0
68,40.0
69,42.0
70,60.0
71,41.0
72,76.0
73,45.0
74,173.0
75,79.0
76,70.0
77,127.0
78,69.0
79,103.0
80,200.0
81,155.0
82,154.0
83,187.0
84,45.0
85,39.0
86,191.0
87,43.0
88,168.0
89,170.0
90,60.0
91,184.0
92,82.0
93,202.0
94,94.0
95,50.0
96,92.0
97,150.0
98,130.0
99,42.0
100,77.0
101,74.0
102,51.0
103,160.0
104,60.0
105,44.0
106,83.0
107,117.0
108,179.0
109,48.0
110,76.0
111,49.0
112,126.0
113,56.0
114,68.0
115,74.0
116,198.0
117,47.0
118,59.0
119,73.0
120,43.0
121,90.0
122,41.0
123,53.0
124,74.0
125,47.0
126,42.0
127,46.0
128,56.0
129,40.0
130,71.0
131,61.0
132,180.0
133,39.0
134,138.0
135,58.0
136,42.0
137,133.0
138,62.0
139,58.0
140,55.0
141,203.0
142,149.0
143,84.0
144,53.0
145,53.0
146,46.0
147,64.0
148,42.0
149,202.0
150,192.0
151,90.0
152,64.0
153,120.0
154,87.0
155,48.0
156,68.0
157,55.0
158,41.0
159,81.0
160,179.0
161,159.0
162,45.0
163,39.0
164,184.0
165,130.0
166,79.0
167,49.0
168,40.0
169,187.0
170,114.0
171,62.0
172,170.0
173,101.0
174,182.0
175,94.0
176,151.0
177,135.0
178,90.0
179,38.0
180,80.0
181,60.0
182,91.0
183,157.0
184,61.0
185,137.0
186,93.0
187,121.0
188,50.0
189,193.0
190,197.0
191,157.0
192,76.0
193,128.0
194,79.0
195,93.0
196,57.0
197,167.0
198,54.0
199,118.0
200,102.0
201,37.0
202,73.0
203,115.0
204,38.0
205,40.0
206,35.0
207,105.0
208,53.0
209,57.0
210,52.0
211,128.0
212,46.0
213,134.0
214,144.0
215,123.0
216,77.0
217,121.0
218,117.0
219,132.0
220,32.0
221,49.0
222,105.0
223,60.0
224,41.0
225,128.0
226,115.0
227,70.0
228,84.0
229,98.0
230,47.0
231,44.0
232,61.0
233,52.0
234,101.0
235,173.0
236,143.0
237,101.0
238,49.0
239,169.0
240,96.0
241,201.0
242,64.0
243,50.0
244,56.0
245,200.0
246,139.0
247,37.0
248,65.0
249,100.0
250,125.0
251,103.0
252,43.0
253,107.0
254,54.0
255,69.0
256,184.0
257,124.0
258,45.0
259,37.0
260,181.0
261,53.0
262,95.0
263,64.0
264,51.0
265,179.0
266,44.0
267,158.0
268,72.0
269,80.0
270,111.0
271,150.0
272,57.0
273,144.0
274,119.0
275,139.0
276,199.0
277,106.0
278,45.0
279,46.0
280,68.0
281,54.0
282,121.0
283,46.0
284,202.0
285,195.0
286,88.0
287,61.0
288,196.0
289,197.0
290,182.0
291,74.0
292,57.0
293,61.0
294,167.0
295,38.0
296,88.0
297,120.0
298,113.0
299,180.0
300,70.0
301,46.0
302,111.0
303,132.0
304,119.0
305,186.0
306,109.0
307,198.0
308,63.0
309,68.0
310,69.0
311,58.0
312,94.0
313,55.0
314,103.0
315,148.0
316,108.0
317,197.0
318,171.0
319,188.0
320,147.0
321,145.0
322,112.0
323,186.0
324,94.0
325,178.0
326,112.0
327,123.0
328,147.0
329,75.0
330,114.0
331,81.0
332,151.0
333,179.0
334,63.0
335,194.0
336,117.0
337,108.0
338,201.0
339,193.0
340,59.0
341,54.0
342,69.0
343,94.0
344,186.0
345,156.0
346,128.0
347,98.0
348,200.0
349,48.0
350,82.0
351,180.0
352,194.0
353,198.0
354,44.0
355,63.0
356,184.0
357,53.0
358,88.0
359,131.0
360,203.0
361,66.0
362,70.0
363,41.0
364,118.0
365,76.0
366,201.0
367,190.0
368,61.0
369,124.0
370,49.0
371,197.0
372,136.0
373,51.0
374,95.0
375,77.0
376,139.0
377,64.0
378,170.0
379,65.0
380,57.0
381,50.0
382,58.0
383,136.0
384,57.0
385,40.0
386,81.0
387,112.0
388,85.0
389,145.0
390,93.0
391,46.0
392,55.0
393,72.0
394,47.0
395,84.0
396,136.0
397,39.0
398,83.0
399,77.0
400,38.0
401,48.0
402,36.0
403,74.0
404,48.0
405,39.0
406,171.0
407,152.0
408,37.0
409,125.0
410,51.0
411,52.0
412,86.0
413,89.0
414,68.0
415,45.0
416,41.0
417,63.0
418,79.0
419,72.0
420,68.0
421,84.0
422,69.0
423,35.0
424,35.0
425,35.0
426,34.0
427,34.0
428,33.0
429,32.0
430,54.0
431,39.0
432,115.0
433,185.0
434,41.0
435,36.0
436,36.0
437,41.0
438,40.0
439,37.0
440,82.0
441,56.0
442,80.0
443,36.0
444,38.0
445,36.0
446,35.0
447,35.0
448,33.0
449,85.0
450,66.0
451,57.0
452,88.0
453,121.0
454,43.0
455,62.0
456,68.0
457,36.0
458,51.0
459,91.0
460,49.0
461,103.0
462,79.0
463,67.0
464,42.0
465,42.0
466,37.0
467,36.0
468,36.0
469,35.0
470,76.0
471,105.0
472,57.0
473,156.0
474,99.0
475,195.0
476,92.0
477,91.0
478,76.0
479,36.0
480,36.0
481,171.0
482,64.0
483,39.0
484,38.0
485,35.0
486,50.0
487,37.0
488,37.0
489,38.0
490,42.0
491,47.0
492,78.0
493,99.0
494,111.0
495,78.0
496,95.0
497,43.0
498,55.0
499,53.0
500,114.0
501,63.0
502,36.0
503,53.0
504,35.0
505,36.0
506,37.0
507,47.0
508,40.0
509,37.0
510,39.0
511,37.0
512,36.0
513,47.0
514,37.0
515,113.0
516,42.0
517,83.0
518,140.0
519,46.0
520,139.0
521,55.0
522,38.0
523,40.0
524,39.0
525,40.0
526,38.0
527,38.0
528,40.0
529,49.0
530,49.0
531,86.0
532,110.0
533,100.0
534,35.0
535,126.0
536,200.0
537,123.0
538,171.0
539,47.0
540,125.0
541,80.0
542,46.0
543,37.0
544,38.0
545,37.0
546,38.0
547,38.0
548,38.0
549,38.0
550,47.0
551,49.0
552,54.0
553,58.0
554,38.0
555,66.0
556,120.0
557,112.0
558,38.0
559,155.0
560,40.0
561,117.0
562,131.0
563,38.0
564,38.0
565,38.0
566,81.0
567,37.0
568,39.0
569,39.0
570,41.0
