Img no,sp_id,cent_X,cent_Y,width,height,area,grayavg,eccentricity
0.0,1.0,8.010452961672474,7.944250871080139,17.0,17.0,287.0,34.0,0.13845762738297748
0.0,2.0,8.805369127516778,25.01006711409396,18.0,21.0,298.0,52.0,0.5297578185802626
0.0,3.0,5.517509727626459,42.42023346303502,17.0,25.0,257.0,69.0,0.7396012189915817
0.0,4.0,10.200626959247648,58.01880877742947,24.0,24.0,319.0,72.0,0.7066987147152505
0.0,5.0,12.018324607329843,73.95287958115183,27.0,21.0,382.0,51.0,0.7137085888023952
0.0,6.0,7.1661016949152545,91.2,17.0,22.0,295.0,46.0,0.5162777536526192
0.0,7.0,9.771830985915493,108.86760563380281,20.0,20.0,355.0,32.0,0.4262061429973029
0.0,8.0,7.8566666666666665,126.66666666666667,17.0,19.0,300.0,32.0,0.34975156035313254
0.0,9.0,8.0,144.0,17.0,17.0,289.0,36.0,0.0
0.0,10.0,7.683453237410072,160.88129496402877,17.0,17.0,278.0,35.0,0.3322843763904908
0.0,11.0,8.065292096219931,177.97594501718214,18.0,17.0,291.0,37.0,0.17435184141852128
0.0,12.0,8.745222929936306,194.96815286624204,19.0,17.0,314.0,35.0,0.42177851178306175
0.0,13.0,18.909822866344605,219.38003220611915,61.0,32.0,621.0,168.0,0.9500643405084415
0.0,14.0,8.569405099150142,235.1614730878187,23.0,27.0,353.0,54.0,0.6907176939107389
0.0,15.0,8.841121495327103,250.19626168224298,21.0,17.0,214.0,118.0,0.5159236785915303
0.0,16.0,7.230769230769231,264.6623931623932,17.0,19.0,234.0,38.0,0.6325882896003902
0.0,17.0,9.417582417582418,276.7967032967033,19.0,13.0,182.0,63.0,0.6772100333015317
0.0,18.0,7.271341463414634,292.1798780487805,18.0,24.0,328.0,37.0,0.5825092008265831
0.0,19.0,8.056047197640117,312.6047197640118,18.0,20.0,339.0,41.0,0.4783542906902521
0.0,20.0,8.509316770186336,331.56832298136646,21.0,18.0,322.0,45.0,0.309534172344094
0.0,21.0,8.282828282828282,349.1986531986532,19.0,17.0,297.0,47.0,0.4199796882585117
0.0,22.0,8.106164383561644,366.1575342465753,19.0,17.0,292.0,36.0,0.33880614481548005
0.0,23.0,8.044827586206896,383.19310344827585,18.0,17.0,290.0,35.0,0.35824005413540416
0.0,24.0,8.549206349206349,400.46666666666664,19.0,19.0,315.0,33.0,0.384996267723463
0.0,25.0,5.16,417.34,16.0,24.0,200.0,56.0,0.7754714614808244
0.0,26.0,7.0266272189349115,443.2248520710059,18.0,25.0,338.0,54.0,0.6685712038942706
0.0,27.0,6.480286738351254,465.21505376344084,15.0,21.0,279.0,53.0,0.6770770329467616
0.0,28.0,8.043046357615895,483.612582781457,17.0,18.0,302.0,42.0,0.32555033861181004
0.0,29.0,8.0,501.0,17.0,17.0,289.0,31.0,0.0
0.0,30.0,6.976525821596244,522.6901408450705,17.0,30.0,426.0,67.0,0.8512173149429512
0.0,31.0,7.226781857451404,553.6501079913606,18.0,33.0,463.0,76.0,0.8466299912501236
0.0,32.0,7.598187311178248,580.190332326284,19.0,22.0,331.0,36.0,0.5471599426876155
0.0,33.0,7.912225705329154,599.8369905956113,18.0,20.0,319.0,35.0,0.4510426782729731
0.0,34.0,7.90566037735849,618.9150943396227,17.0,19.0,318.0,35.0,0.4330514417116815
0.0,35.0,8.075085324232083,636.877133105802,17.0,18.0,293.0,38.0,0.243307707996614
0.0,36.0,8.061855670103093,654.0103092783505,18.0,17.0,291.0,37.0,0.1523760108416333
0.0,37.0,7.830388692579505,670.8833922261484,17.0,17.0,283.0,41.0,0.2872802180192141
0.0,38.0,8.387417218543046,687.9569536423841,18.0,17.0,302.0,35.0,0.3255503386118097
0.0,39.0,8.0,705.0,17.0,17.0,289.0,39.0,0.0
0.0,40.0,8.0,722.0,17.0,17.0,289.0,37.0,0.0
0.0,41.0,7.972222222222222,738.9722222222222,17.0,17.0,288.0,41.0,0.13608276348795423
0.0,42.0,8.585034013605442,755.5238095238095,19.0,18.0,294.0,45.0,0.4069800428911888
0.0,43.0,7.903914590747331,772.170818505338,17.0,17.0,281.0,36.0,0.3274088414936386
0.0,44.0,8.022727272727273,788.1022727272727,18.0,18.0,264.0,45.0,0.45540161121046807
0.0,45.0,6.5059288537549405,804.4110671936759,16.0,20.0,253.0,69.0,0.6883065103597584
0.0,46.0,7.900602409638554,824.4246987951807,18.0,22.0,332.0,60.0,0.6441956407506331
0.0,47.0,7.807971014492754,842.3478260869565,17.0,18.0,276.0,39.0,0.40065277128682253
0.0,48.0,8.0,858.5,17.0,16.0,272.0,31.0,0.33850160019316505
0.0,49.0,8.0,875.0,17.0,17.0,289.0,31.0,0.0
0.0,50.0,8.0,892.0,17.0,17.0,289.0,30.0,0.0
