,0
0,125
1,58
2,45
3,39
4,37
5,51
6,38
7,48
8,47
9,46
10,47
11,46
12,38
13,67
14,34
15,33
16,34
17,34
18,35
19,37
20,37
21,58
22,47
23,67
24,49
25,50
26,47
27,52
28,72
29,41
30,59
31,78
32,84
33,47
34,69
35,33
36,33
37,34
38,33
39,34
40,35
41,34
42,34
43,35
44,33
45,33
46,33
47,33
48,32
49,32
50,31
51,30
52,31
53,29
54,59
55,58
56,44
57,60
58,43
59,61
60,46
61,37
62,75
63,36
64,40
65,35
66,53
67,47
68,41
69,34
70,40
71,49
72,45
73,37
74,33
75,46
76,89
77,54
78,33
79,35
80,39
81,37
82,49
83,34
84,33
85,33
86,34
87,33
88,34
89,35
90,33
91,34
92,33
93,34
94,33
95,33
96,32
97,31
98,31
99,32
100,29
101,36
102,52
103,48
104,34
105,37
106,40
107,37
108,37
109,34
110,68
111,86
112,31
113,45
114,38
115,68
116,38
117,37
118,68
119,42
120,59
121,56
122,34
123,32
124,32
125,46
126,36
127,33
128,45
129,35
130,33
131,33
132,39
133,48
134,36
135,33
136,36
137,35
138,35
139,35
140,34
141,35
142,34
143,36
144,34
145,35
146,34
147,33
148,34
149,34
150,35
151,32
152,33
153,32
154,32
155,30
156,31
157,61
158,37
159,79
160,80
161,33
162,69
163,54
164,35
165,41
166,33
167,50
168,34
169,33
170,46
171,115
172,55
173,34
174,34
175,34
176,34
177,32
178,34
179,33
180,58
181,74
182,37
183,50
184,36
185,56
186,37
187,33
188,33
189,33
190,32
191,35
192,36
193,34
194,36
195,37
196,34
197,35
198,35
199,35
200,38
201,35
202,35
203,35
204,34
205,34
206,34
207,34
208,33
209,34
210,32
211,31
212,30
213,62
214,37
215,46
216,144
217,31
218,85
219,80
220,54
221,66
222,41
223,61
224,35
225,38
226,33
227,31
228,45
229,32
230,34
231,36
232,82
233,66
234,40
235,35
236,45
237,33
238,33
239,34
240,31
241,57
242,35
243,34
244,34
245,35
246,35
247,36
248,36
249,35
250,36
251,35
252,35
253,36
254,35
255,36
256,35
257,34
258,35
259,35
260,34
261,33
262,33
263,33
264,31
265,36
266,48
267,35
268,49
269,185
270,70
271,35
272,40
273,72
274,82
275,74
276,31
277,41
278,40
279,89
280,63
281,43
282,56
283,40
284,33
285,45
286,40
287,34
288,37
289,43
290,68
291,35
292,35
293,36
294,36
295,36
296,31
297,40
298,36
299,36
300,37
301,42
302,35
303,35
304,35
305,36
306,39
307,41
308,35
309,36
310,34
311,36
312,34
313,34
314,34
315,34
316,33
317,32
318,32
319,57
320,40
321,38
322,55
323,61
324,51
325,34
326,56
327,83
328,52
329,50
330,79
331,105
332,41
333,35
334,39
335,103
336,50
337,55
338,40
339,35
340,43
341,64
342,40
343,76
344,44
345,43
346,36
347,34
348,34
349,35
350,36
351,35
352,39
353,40
354,38
355,40
356,37
357,42
358,35
359,37
360,35
361,36
362,35
363,34
364,35
365,36
366,34
367,35
368,32
369,36
370,89
371,111
372,45
373,40
374,100
375,90
376,57
377,67
378,62
379,57
380,33
381,34
382,121
383,37
384,171
385,80
386,77
387,48
388,36
389,43
390,83
391,76
392,47
393,47
394,33
395,62
396,65
397,58
398,48
399,49
400,49
401,34
402,35
403,34
404,34
405,35
406,35
407,35
408,35
409,37
410,36
411,35
412,35
413,44
414,35
415,35
416,35
417,34
418,35
419,36
420,35
421,35
422,36
423,36
424,35
425,33
426,42
427,46
428,75
429,47
430,157
431,195
432,156
433,105
434,99
435,66
436,56
437,92
438,107
439,101
440,78
441,45
442,62
443,57
444,34
445,47
446,49
447,76
448,51
449,33
450,36
451,64
452,39
453,35
454,34
455,35
456,35
457,34
458,35
459,35
460,36
461,36
462,35
463,36
464,38
465,39
466,36
467,35
468,36
469,36
470,36
471,35
472,36
473,35
474,35
475,36
476,33
477,33
478,46
479,48
480,61
481,65
482,64
483,56
484,45
485,78
486,80
487,35
488,87
489,64
490,44
491,72
492,33
493,92
494,37
495,61
496,43
497,35
498,36
499,37
500,58
501,112
502,62
503,33
504,38
505,63
506,76
507,111
508,82
509,36
510,37
511,37
512,34
513,34
514,35
515,35
516,35
517,35
518,36
519,36
520,40
521,50
522,39
523,36
524,37
525,37
526,37
527,36
